,log_return
92,0.0003566082470776166
93,0.005268352239866658
94,0.00027544361566178566
95,-0.00558529077069192
96,0.005354652948007299
97,0.0012524878341881873
98,0.007810014244434171
99,-0.00036860089433954357
100,-0.0035218824209071187
101,-0.001305948289553882
102,-0.0032946997183378457
103,0.002759476126350968
104,-6.870305000461485e-06
105,0.003634492540459
106,-0.00039676882474815045
107,0.0007112666939033119
108,-0.008203035646517698
109,-0.005543314563770885
110,-0.00039519445921598617
111,-0.0014189099207726485
112,-0.033416388951566844
113,-0.02078758017027127
114,0.014106235544857348
115,-0.005922482381779837
116,0.02126782810210681
117,-0.0002526942849021552
118,-0.014496490704811293
119,-0.00036123513531816087
120,-0.00430879692118058
121,-0.005527076396959707
122,-0.03135077358349214
123,0.018453717716466755
124,-0.017479138029975694
125,-0.006581208142393713
126,0.015545323041771475
127,0.010792878598247846
128,0.010502498886538092
129,-0.006336720838270082
130,0.005584693696363274
131,0.006239787533674601
132,0.02098707877307593
133,-0.0025120691829512154
134,-0.009241585786561757
135,-0.019898150960847794
136,-0.0014830187990533261
137,-0.007596188996736863
138,0.010538032725957436
139,0.0022208377717474193
140,-0.016783161581240158
141,-0.01831799522269062
142,0.003038669286697271
143,-0.006576419693154811
144,0.015412975626759362
145,0.0032563844755069127
146,0.022714051233730714
147,-0.0021854944598365122
148,0.008137547699126557
149,0.010882001681880027
150,-0.03290022862090147
151,-0.0015233881283567285
152,-0.02359633544004147
153,0.001760603382938264
154,-0.00035640990044516485
155,0.00540487098738307
156,-0.0001999502004368381
157,-0.01927121231122708
158,-0.02099228492203764
159,8.639697040013772e-05
160,-0.015515459108049079
161,-0.015897809458373935
162,-0.020803120626788463
163,-0.027486572654519037
164,0.048403177454947155
165,0.008526228988242401
166,-0.0012423539542947282
167,0.008456626093618524
168,0.00126769280722705
169,-0.02506833152829735
170,0.03375939872755396
171,0.006985975996346205
172,0.009648587453345847
173,0.004089671399485795
174,0.004508241512753308
175,-0.00014630861667797035
176,-0.00527139484087602
177,0.010664619108958107
178,0.0022195205946413665
179,0.007562730598548839
180,0.013096912839547059
181,-0.014258476981933832
182,0.00220048998487421
183,0.0013747801288062078
184,0.008452867835778477
185,-0.007877775806643506
186,-0.0014573080651336667
187,0.015429609955667445
188,0.008560648872782295
189,0.000898206347996755
190,0.006753381158357996
191,0.004697370443379256
192,-0.0022269158091692276
193,-0.009401192984273443
194,0.0006759725717397913
195,0.0007088517980031739
196,0.012807852668629494
197,0.00301943165665719
198,-0.0026551634465823426
199,0.010820004959524177
200,0.0014976212870596584
201,0.0017755334147047108
202,-0.003532669196549598
203,0.006390638671899929
204,0.0012311042541126582
205,-0.0007907696449969137
206,-0.0005441972461150968
207,-0.0028295077502695776
208,0.006871656527986936
209,-0.0038881071048946225
210,-0.001132173758392696
211,-0.00654547354291779
212,-0.008158910945582853
213,-0.002133964393197907
214,0.014559535756253794
215,0.0029489658339718616
216,0.006925546633569368
217,-0.0008683995429707991
218,0.004972519409259135
219,0.00369909682158287
220,-0.00013057006339689536
221,-0.002948696779871973
222,0.010794015726340866
223,-0.01915682717763456
224,-0.0008393730063831484
225,0.007157053120867118
226,-0.00465514336561057
227,0.003583054637804395
228,0.006711706066340639
229,0.011502195497632428
230,1.7455614805150788e-05
231,0.0021460723821995487
232,0.0020824655091420397
233,0.004625717395561502
234,0.0010469119934199966
235,-0.006085976657260517
236,0.0034718378358560287
237,3.81221942795662e-05
238,0.006587578476350053
239,-0.0006295672497582672
240,0.0005092285079060233
241,-0.002276401019742913
242,0.0015778467813145625
243,0.0010115060212161353
244,0.0088023511954054
245,-0.0021941687255360165
246,-0.0003690416975548061
247,0.004674350344364697
248,0.0010709483395823227
249,0.0009509647572327751
250,-0.007530445968185084
251,-0.002126244327689264
252,0.009592127461470312
253,-0.004481013231055542
254,-0.016649488130547674
255,-0.0016067154056038646
256,-0.003025998601924762
257,0.0037133938472040384
258,-0.024426469085878644
259,0.00798398755130858
260,0.005821994388234053
261,0.008855956969633816
262,-0.005854437152920333
263,-0.006772258036625622
264,0.008459949110946496
265,-0.0028283920525034034
266,-0.011985692488440058
267,0.0013526439988345018
268,-0.00841094999347014
269,-0.00693591014934114
270,0.002096272355293749
271,-0.013283204951564542
272,-0.0027690708645513595
273,0.021205927310919748
274,0.008128726689966115
275,0.00611684071521168
276,0.01044297936774985
277,0.004649219874319321
278,-0.0003499411926926044
279,-0.002039657892135338
280,0.004089010610765165
281,-0.0016128120944145508
282,0.0009313156379775478
283,0.009670489549712613
284,0.002980716814381168
285,0.00942760543616572
286,-0.001260016380194351
287,-0.0017333883650607618
288,-0.009541775692826882
289,-0.0012346958449604983
290,0.003815885937212826
291,0.005740941877535377
292,0.007643018489114084
293,0.0029238473979908974
294,0.007643095461890681
295,-0.0018075341211645224
296,-0.004847173031302887
297,0.0012357931791351362
298,0.004500546753086532
299,0.002282619662558716
300,0.004609534494061762
301,0.00017585362986771713
302,-0.003409584632835916
303,-0.006552665403402713
304,0.0035755975260798323
305,-0.006195889465719695
306,0.002824701728525447
307,0.00682414533750908
308,0.004677192849237954
309,-0.00527629657652362
310,0.007360535589743478
311,-0.001617421691362253
312,-0.002581985351048033
313,-0.010945207008496993
314,-0.009039527494171473
315,-0.007309388618491397
316,-0.030230182310702958
317,0.012933024156216
318,0.0007665820086630859
319,0.01858846266662706
320,-0.006638593288660566
321,-0.012393809057761551
322,0.01501834620411735
323,-0.029730352210714628
324,0.002461236697882896
325,0.014323058175937042
326,0.012033175322414102
327,-0.007946215113735278
328,0.008212979599435677
329,-0.0005062031409677203
330,-0.026288881212212623
331,0.01092311294411541
332,-0.0032083219038181454
333,0.006524151428012104
334,0.012607482539024772
335,0.0006425808239747255
336,-0.006923009192753682
337,0.010783725016078272
338,0.012925913022813873
339,0.0009101908253592583
340,-9.401457922297851e-05
341,0.0003222524468693422
342,0.0072036723045441065
343,0.0028750160390682566
344,-0.0007246766172759322
345,-0.003140513035788217
346,0.002578425294432307
347,0.0003426331855500564
348,1.997465704306478e-05
349,-0.004907599204203805
350,-9.694059694886903e-05
351,-0.008451988748447548
352,0.006139685063274669
353,-0.0024318710097670504
354,-0.005330534537260512
355,0.0050349101576143696
356,-0.01233412686667723
357,-0.018065404333741597
358,0.007940304984384028
359,0.014116785254235431
360,-0.0044883523743441955
361,-0.015683159390420975
362,0.009063296256677233
363,0.0063952025933451395
364,0.01087957976778764
365,-0.0013880819469243022
366,0.009906445612344328
367,-0.002001544809042244
368,0.0027590220483286743
369,-0.003927045710025112
370,0.006848114261627458
371,-0.0035750494353443685
372,0.002843103580076445
373,0.0019186044823928938
374,0.004064429588282792
375,0.0055658199003794095
376,-0.0008327518586899174
377,0.0032480894157931317
378,-0.0030274386546498278
379,0.009615930390243221
380,0.003697245993253162
381,-0.0011864029250823194
382,0.0007022505567846338
383,0.002726375457253738
384,0.0025574029882182714
385,-0.001964395297001431
386,0.0015634232607162346
387,0.0007112815145404738
388,0.0008366926952056986
389,0.007666028737453701
390,0.0005030262076903824
391,-0.0005927698894243605
392,-0.0037632565160130582
393,-0.0015840061264338345
394,0.002172573942418765
395,0.007479252042189799
396,0.00219316365957134
397,0.00416573553549604
398,-0.004019286438680325
399,-0.008668483604941102
400,-0.00666022525339649
401,0.006303657739630708
402,0.0014991269666140283
403,0.009094245880380214
404,-0.0031678336297780163
405,-0.0010975360392748712
406,0.0029039374393935447
407,0.008538667202454775
408,7.257931787307825e-05
409,0.007122360834447505
410,0.0003352362291444422
411,-0.00043239365514935457
412,0.004449378631168344
413,0.004932595954990404
414,0.0008657686948332355
415,-0.00019546731699549014
416,0.0051150623181257515
417,3.398431809209512e-05
418,-0.00579759624342735
419,0.002941690571702793
420,0.00834389555972237
421,-0.007084909364206027
422,0.0035271449965588175
423,-0.0028071748821290043
424,0.004890473427460407
425,0.006633214011586119
426,-0.0028592623297480912
427,0.00695199399768498
428,-0.0015156809986205388
429,0.0018684503293879828
430,0.008331747563715908
431,0.003854723068689836
432,-0.0026555003320929416
433,0.0002890343155019792
434,0.0011403261745641657
435,-0.00908328931731539
436,-0.015855752389123623
437,0.010003383371008923
438,-0.0008672501770590202
439,0.003129457001914915
440,-0.01786444339272819
441,0.0072284256543806436
442,0.01486931591220042
443,0.011187778503979118
444,0.0033201550900958665
445,-0.005415490901944153
446,0.0072996901344204446
447,0.0016870486533733242
448,0.006441853054342417
449,-0.0016317764295372683
450,0.0018418361865357724
451,-0.002924213972333334
452,0.004694748201313104
453,-0.003822817465444217
454,-0.010573809093857633
455,-0.0340880792896634
456,-0.03074790448615161
457,-0.0037856972081353746
458,-0.0451681364089529
459,-0.008272463087842574
460,0.045010868517232794
461,-0.02851048483365659
462,0.04133634936316177
463,-0.034510782514423965
464,-0.017200943581122452
465,-0.07901041272937803
466,0.04821505211531196
467,-0.05010289257757439
468,-0.09994485230080308
469,0.08880840695207493
470,-0.1276521975671443
471,0.058226312396488566
472,-0.05322227202811369
473,0.004696761002154659
474,-0.04432762417423053
475,-0.029731501217447054
476,0.08968323262052547
477,0.011468990636002374
478,0.06054383077350156
479,-0.034267845288173504
480,0.03296659032229243
481,-0.016142310615227196
482,-0.045146362775104976
483,0.02257265692092414
484,-0.015252860828035786
485,0.06796824441787486
486,-0.0016043392244071697
487,0.033489371061956597
488,0.014383470345338267
489,-0.01015605924796592
490,0.030114559647154593
491,-0.022276732966680868
492,0.0057998380525052795
493,0.02644093210125309
494,-0.018042845795416262
495,-0.031155115049135595
496,0.02267130057880884
497,-0.0005395677438881918
498,0.013822090422785926
